school,test_optional,for_class_year,n_applicants,acceptance_rate,sat_25th,sat_75th,sat_median
California State University--Fresno,Yes (TB),2021,18122,0.579,950.0,1130.0,1040.0
Rollins College,Yes,All / Permanent Policy,6167,0.583,1160.0,1340.0,1250.0
University of Hawaii at Manoa,Yes,2021,16244,0.584,1070.0,1270.0,1170.0
University of Denver,Yes,All / Permanent Policy,21028,0.5870000000000001,1170.0,1350.0,1260.0
Hampden-​Sydney College,Yes,2021,3240,0.59,1050.0,1250.0,1150.0
University of Illinois—​Urbana-​Champaign,Yes,2021,43509,0.59,1220.0,1480.0,1350.0
Millsaps College,Yes,2021,4161,0.593,1080.0,1260.0,1170.0
California State University--Northridge,Yes (TB),2021,30637,0.593,910.0,1130.0,1020.0
Clark University,Yes,All / Permanent Policy,7687,0.594,1200.0,1390.0,1295.0
Lipscomb University,Yes,2021,3638,0.595,1060.0,1320.0,1190.0
Virginia Military Institute,Yes,2021,1515,0.595,1090.0,1270.0,1180.0
Purdue University—​West Lafayette,Yes (TF),2021,54912,0.598,1190.0,1440.0,1315.0
Temple University,Yes,All / Permanent Policy,35599,0.6,1120.0,1320.0,1220.0
Rutgers The State University of New Jersey—​New Brunswick,Yes,2021,41348,0.601,1190.0,1410.0,1300.0
Illinois Institute of Technology,Yes,2021,5049,0.6020000000000001,1190.0,1400.0,1295.0
Yeshiva University,Yes,2021,1508,0.603,1140.0,1400.0,1270.0
Illinois Wesleyan University,Yes,2021,3719,0.608,1120.0,1320.0,1220.0
Furman University,Yes,All / Permanent Policy,5469,0.611,1230.0,1410.0,1320.0
University at Buffalo—​SUNY,Yes,2021,29900,0.611,1160.0,1340.0,1250.0
Concordia College—​Moorhead,Yes,All / Permanent Policy,4160,0.612,1080.0,1368.0,1224.0
SUNY College of Environmental Science and Forestry,Yes,2021,2018,0.614,1120.0,1310.0,1215.0
University of Portland,Yes,2021,14505,0.615,1160.0,1330.0,1245.0
Cornell College,Yes,All / Permanent Policy,3118,0.618,1100.0,1345.0,1222.5
Muhlenberg College,Yes,All / Permanent Policy,4146,0.618,1170.0,1360.0,1265.0
Gonzaga University,Yes,2021,9279,0.619,1210.0,1358.0,1284.0
Beloit College,Yes,All / Permanent Policy,3657,0.62,1080.0,1380.0,1230.0
Lawrence University,Yes,All / Permanent Policy,3463,0.621,1200.0,1430.0,1315.0
University of Utah,Yes,2021 2022 2023,24404,0.621,1142.5,1380.0,1261.25
Allegheny College,Yes,All / Permanent Policy,5208,0.622,1170.0,1360.0,1265.0
University of Delaware,Yes,2021,27691,0.624,1170.0,1350.0,1260.0
Westmont College,Yes,2021,2937,0.624,1110.0,1370.0,1240.0
Luther College,Yes,2021,4422,0.626,1050.0,1310.0,1180.0
Rutgers The State University of New Jersey—​Newark,Yes,2021,13259,0.627,1020.0,1190.0,1105.0
Earlham College,Yes,All / Permanent Policy,2070,0.634,1100.0,1370.0,1235.0
Augustana College,Yes,All / Permanent Policy,6211,0.636,1070.0,1280.0,1175.0
Wofford College,Yes,All / Permanent Policy,3522,0.636,1180.0,1350.0,1265.0
New Jersey Institute of Technology,Yes,2021,8123,0.637,1190.0,1380.0,1285.0
University of Massachusetts—​Amherst,Yes,2021 2022 2023,42157,0.638,1190.0,1390.0,1290.0
